date;title;artist;danceability
2016-04-30;Die A Happy Man;thomas rhett;586
2016-04-30;Nobody To Blame;chris stapleton;534
2016-04-30;Sugar;robin schulz;636
2016-04-30;Victorious;panic! at the disco;575
2016-04-30;Waves;kanye west;593
2016-04-30;Ultralight Beam;kanye west;591
2016-04-23;Hotline Bling;drake;893
2016-04-23;When We Were Young;adele;566
2016-04-23;Best Friend;young thug;944
2016-04-23;Beautiful Drug;zac brown band;616
2016-04-23;Heartbeat;carrie underwood;0.54
2016-04-23;Tennessee Whiskey;chris stapleton;387
2016-04-23;Light It Up;major lazer;338
2016-04-23;FML;kanye west;673
2016-04-23;Real Friends;kanye west;481
2016-04-23;Feedback;kanye west;821
2016-04-16;679;fetty wap;618
2016-04-16;Like I'm Gonna Lose You;meghan trainor;0.63
2016-04-16;What Do You Mean?;justin bieber;842
2016-04-16;White Iverson;post malone;677
2016-04-16;Say It;tory lanez;522
2016-04-16;Stand By You;rachel platten;494
2016-04-16;I Know What You Did Last Summer;shawn mendes;695
2016-04-16;Home Alone Tonight;luke bryan;0.5
2016-04-16;Something In The Way You Move;ellie goulding;0.66
2016-04-16;Make Me Like You;gwen stefani;737
2016-04-16;Like I Would;zayn;565
2016-04-16;With Them;young thug;926
2016-04-16;Digits;young thug;769
2016-04-09;Ex's & Oh's;elle king;612
2016-04-09;Here;alessia cara;382
2016-04-09;Same Old Love;selena gomez;669
2016-04-09;Hide Away;daya;884
2016-04-09;In The Night;the weeknd;0.48
2016-04-09;Adventure Of A Lifetime;coldplay;638
2016-04-09;Backroad Song;granger smith;483
2016-04-09;Sorry Not Sorry;bryson tiller;699
2016-04-09;Something New;zendaya;692
2016-04-09;Be Alright;ariana grande;803
2016-04-02;Can't Feel My Face;the weeknd;713
2016-04-02;We Went;randy houser;645
2016-04-02;Break On Me.;keith urban;616
2016-04-02;Might Be;luke nasty;448
2016-03-26;Get Ugly;jason derulo;0.75
2016-03-26;Watch Out;2 chainz;899
2016-03-26;Untitled 02 l 06.23.2014.;kendrick lamar;526
2016-03-26;Untitled 07 l 2014 - 2016;kendrick lamar;unknown
2016-03-26;Gotta Lotta;2 chainz;685
2016-03-19;See You Again;wiz khalifa;689
2016-03-19;Lean On;major lazer;713
2016-03-19;Antidote;travi$ scott;716
2016-03-19;Perfect;one direction;647
2016-03-19;$ave Dat Money;lil dicky;858
2016-03-19;History;one direction;655
2016-03-19;Walking On A Dream;empire of the sun;0.87
2016-03-19;It's You;zayn;615
2016-03-19;Hello Friday;flo rida;768
2016-03-19;Til It Happens To You;lady gaga;361
2016-03-12;Wildest Dreams;taylor swift;556
2016-03-12;I Love This Life;locash;592
2016-03-12;Dibs;kelsea ballerini;638
2016-03-12;Hollow;tori kelly;462
2016-03-12;Out Of The Woods;taylor swift;557
2016-03-12;Look At My Dab;migos;0.85
2016-03-05;Uptown Funk!;mark ronson;856
2016-03-05;On My Mind;ellie goulding;702
2016-03-05;Break Up In A Small Town;sam hunt;575
2016-03-05;Confident;demi lovato;593
2016-03-05;Stay A Little Longer;brothers osborne;553
2016-03-05;Bet You Can't Do It Like Me;dlow;869
2016-03-05;Irresistible;fall out boy;488
2016-03-05;Dessert;dawin;868
2016-03-05;Good To Be Alive (Hallelujah);andy grammer;781
2016-03-05;Bang My Head;david guetta;599
2016-03-05;All I Ask;adele;276
2016-02-27;Watch Me;silento;825
2016-02-27;The Fix;nelly;812
2016-02-27;WTF (Where They From);missy elliott;932
2016-02-27;Bake Sale;wiz khalifa;864
2016-02-27;Fly S**t Only;future;692
2016-02-27;Die A Happy Man;nelly;0.65
2016-02-27;Whisper;chase rice;509
2016-02-20;Again;fetty wap;748
2016-02-20;No Role Modelz;j. cole;696
2016-02-20;Big Rings;drake;0.79
2016-02-20;Back Up;dej loaf;816
2016-02-20;Play No Games;big sean;749
2016-02-20;Down In The DM;yo gotti;779
2016-02-20;Alive;sia;0.32
2016-02-20;Country Nation;brad paisley;387
2016-02-20;Jam;kevin gates;744
2016-02-13;I Got The Boy;jana kramer;625
2016-02-13;Gonna Know We Were Here;jason aldean;449
2016-02-13;Roses;the chainsmokers;718
2016-02-13;Focus;ariana grande;612
2016-02-13;Mr. Misunderstood;eric church;384
2016-02-13;oui;jeremih;702
2016-02-13;Emperor's New Clothes;panic! at the disco;562
2016-02-13;Bottom Of The Bottle;curren$y;741
2016-02-06;Locked Away;r. city;508
2016-02-06;Right Hand;drake;915
2016-02-06;Come Get Her;rae sremmurd;692
2016-02-06;New Americana;halsey;451
2016-02-06;Lay It All On Me;rudimental;669
2016-02-06;Ginza;j balvin;736
2016-02-06;I'll Show You;justin bieber;337
2016-02-06;Death Of A Bachelor;panic! at the disco;462
2016-02-06;Lean & Dabb;ilovememphis;795
2016-01-30;Trap Queen;fetty wap;746
2016-01-30;Gonna;blake shelton;667
2016-01-30;Blase;ty dolla $ign;897
2016-01-30;Under Pressure;queen;666
2016-01-30;Space Oddity;david bowie;337
2016-01-30;RGF Island;fetty wap;746
2016-01-30;Used To Love You;gwen stefani;619
2016-01-30;Lazarus;david bowie;0.66
2016-01-30;Blackstar;david bowie;366
2016-01-23;Where Are U Now;skrillex;432
2016-01-23;Where Ya At;future;813
2016-01-23;Downtown;macklemore;828
2016-01-23;Smoke Break;carrie underwood;441
2016-01-23;Top Of The World;tim mcgraw;672
2016-01-16;Burning House;cam;729
2016-01-16;Hit The Quan;ilovememphis;741
2016-01-16;Liquor;chris brown;692
2016-01-16;Purpose;justin bieber;481
2016-01-16;The Feeling;justin bieber;525
2016-01-16;Jugg;fetty wap;635
2016-01-16;Stick Talk;future;729
2016-01-16;Zero;chris brown;726
2016-01-09;Hallelujah;lindsey stirling;0.24
2016-01-09;Little More (Royalty);chris brown;632
2016-01-01;Cheerleader;omi;864
2016-01-01;Good For You;selena gomez;0.48
2016-01-01;Drag Me Down;one direction;723
2016-01-01;Back To Back;drake;893
2016-01-01;Strip It Down;luke bryan;629
2016-01-01;Nothin' Like You;dan + shay;589
2016-01-01;Somebody To Love;jordan smith;487
2016-01-01;Mary Did You Know;jordan smith;0.52
2016-01-01;Burning House;emily ann roberts;507
2016-01-01;Climb Every Mountain;jordan smith;216
2016-01-01;God Only Knows;jordan smith;538
2015-12-26;Renegades;x ambassadors;514
2015-12-26;Mark My Words;justin bieber;383
2015-12-26;No Pressure;justin bieber;644
2015-12-26;Already Callin' You Mine;parmalee;0.59
2015-12-26;Random;g-eazy;577
2015-12-26;Sorry;rick ross;634
2015-12-26;Drifting;g-eazy;523
2015-12-19;Photograph;ed sheeran;614
2015-12-19;I'm Comin' Over;chris young;573
2015-12-19;My Way;fetty wap;748
2015-12-19;How Deep Is Your Love;calvin harris;738
2015-12-19;Let Me See Ya Girl;cole swindell;523
2015-12-19;No Sense;justin bieber;643
2015-12-19;Hallelujah;jordan smith;191
2015-12-19;I'd Just Love To Lay You Down;barrett baber;418
2015-12-19;Daddy;psy;762
2015-12-19;Girls Just Want To Have Fun;madi davis;507
2015-12-12;Love Myself;hailee steinfeld;617
2015-12-12;Life Is Worth Living;justin bieber;558
2015-12-12;Remedy;adele;255
2015-12-12;Rich $ex;future;758
2015-12-05;Break Up With Him;old dominion;615
2015-12-05;Great Is Thy Faithfulness;jordan smith;301
2015-12-05;Children;justin bieber;634
2015-12-05;Been You;justin bieber;0.74
2015-12-05;If I Could Fly;one direction;565
2015-12-05;Olivia;one direction;0.64
2015-12-05;We Are;justin bieber;586
2015-12-05;Get Used To Me;justin bieber;687
2015-12-05;A.M.;one direction;586
2015-12-05;Temporary Fix;one direction;556
2015-12-05;Trust;justin bieber;512
2015-12-05;Never Enough;one direction;579
2015-11-28;Thinking Out Loud;ed sheeran;781
2015-11-28;Shut Up And Dance;walk the moon;578
2015-11-28;Fight Song;rachel platten;571
2015-11-28;Cool For The Summer;demi lovato;584
2015-11-28;Anything Goes;florida georgia line;475
2015-11-28;Save It For A Rainy Day;kenny chesney;538
2015-11-28;Comfortable;k camp;752
2015-11-28;Levels;nick jonas;707
2015-11-28;Diamonds Dancing;drake;512
2015-11-28;Hold My Hand;jess glynne;642
2015-11-28;Writing's On The Wall;sam smith;372
2015-11-28;Traveller;chris stapleton;545
2015-11-28;Halo;jordan smith;412
2015-11-21;Want To Want Me;jason derulo;775
2015-11-21;All Eyes On You;meek mill;589
2015-11-21;Thriller;michael jackson;775
2015-11-21;Scholarships;drake;557
2015-11-21;Digital Dash;drake;893
2015-11-14;Sugar;maroon 5;744
2015-11-14;Marvin Gaye;charlie puth;795
2015-11-14;Gonna Wanna Tonight;chase rice;584
2015-11-14;100;the game;799
2015-11-14;Nothing But Trouble (Instagram Models);lil wayne;724
2015-11-14;Powerful;major lazer;598
2015-11-14;Home;one direction;0.42
2015-11-14;Used To Love You Sober;kane brown;524
2015-11-07;Worth It;fifth harmony;884
2015-11-07;Flex (Ooh Ooh Ooh);rich homie quan;726
2015-11-07;Lose My Mind;brett eldredge;0.68
2015-11-07;This Could Be Us;rae sremmurd;728
2015-11-07;John Cougar, John Deere, John 3:16;keith urban;0.69
2015-11-07;Live From The Gutter;drake;887
2015-11-07;I'm The Plug;drake;829
2015-11-07;Can't Sleep Love;pentatonix;724
2015-10-31;Earned It (Fifty Shades Of Grey);the weeknd;0.66
2015-10-31;El Perdon (Forgiveness);nicky jam;622
2015-10-31;Bad Blood;taylor swift;346
2015-10-31;House Party;sam hunt;752
2015-10-31;Fly;maddie;513
2015-10-31;Change Locations;drake;787
2015-10-31;Love Me;the 1975;632
2015-10-24;Uma Thurman;fall out boy;624
2015-10-24;Planes;jeremih;663
2015-10-24;Buy Me A Boat;chris janson;574
2015-10-24;Ghost Town;adam lambert;717
2015-10-24;Cecilia And The Satellite;andrew mcmahon in the wilderness;551
2015-10-24;Plastic Bag;drake;842
2015-10-24;Jersey;future;757
2015-10-24;Hold Each Other;a great big world;0.66
2015-10-17;Kick The Dust Up;luke bryan;0.6
2015-10-17;Black Magic;little mix;777
2015-10-17;Hit The Quan;iheartmemphis;758
2015-10-17;Infinity;one direction;529
2015-10-17;30 For 30 Freestyle;drake;747
2015-10-10;Honey, I'm Good.;andy grammer;753
2015-10-10;Classic Man;jidenna;0.79
2015-10-10;Crash And Burn;thomas rhett;698
2015-10-10;I Don't Like It, I Love It;flo rida;854
2015-10-10;Alright;kendrick lamar;796
2015-10-10;R.I.C.O.;meek mill;727
2015-10-10;30 for 30 Freestyle;drake;747
2015-10-10;Runnin' (Lose It All);naughty boy;318
2015-10-03;Post To Be;omarion;733
2015-10-03;Loving You Easy;zac brown band;712
2015-10-03;Hell Of A Night;dustin lynch;499
2015-10-03;Real Life;jake owen;654
2015-10-03;Should've Been Us;tori kelly;0.65
2015-10-03;She's Kinda Hot;5 seconds of summer;675
2015-10-03;Tell Your Friends;the weeknd;584
2015-10-03;About You;trey songz;582
2015-10-03;Prisoner;the weeknd;543
2015-10-03;Dark Times;the weeknd;585
2015-10-03;Firestone;kygo;486
2015-09-26;The Night Is Still Young;nicki minaj;656
2015-09-26;Beautiful Now;zedd;628
2015-09-26;Do It Again;pia mia;713
2015-09-26;One Man Can Change The World;big sean;0.67
2015-09-26;Cheyenne;jason derulo;554
2015-09-26;Rotten To The Core;dove cameron, cameron boyce, booboo stewart;698
2015-09-26;Omen;disclosure;646
2015-09-26;Hit The Quan;@iheartmemphis;758
2015-09-26;Real Life;the weeknd;578
2015-09-26;Shameless;the weeknd;602
2015-09-26;Burn Slow;wiz khalifa;797
2015-09-19;Hey Mama;david guetta;596
2015-09-19;El Perdon;nicky jam;628
2015-09-19;Young & Crazy;frankie ballard;0.61
2015-09-19;Roots;imagine dragons;0.64
2015-09-19;Losers;the weeknd;663
2015-09-19;Jet Black Heart;5 seconds of summer;512
2015-09-12;Love Me Like You Do;ellie goulding;245
2015-09-12;B**** Better Have My Money;rihanna;781
2015-09-12;Nasty Freestyle;t-wayne;779
2015-09-12;Be Real;kid ink;762
2015-09-12;Sangria;blake shelton;646
2015-09-12;One Hell Of An Amen;brantley gilbert;549
2015-09-12;Kiss You In The Morning;michael ray;557
2015-09-12;High By The Beach;lana del rey;526
2015-09-12;Straight Outta Compton;n.w.a;833
2015-09-12;Boyz-N-The Hood;eazy-e;753
2015-09-12;I'm To Blame;kip moore;693
2015-09-05;Talking Body;tove lo;736
2015-09-05;Like A Wrecking Ball;eric church;691
2015-09-05;Wet Dreamz;j. cole;504
2015-09-05;Tonight Looks Good On You;jason aldean;485
2015-09-05;Fun;pitbull;793
2015-09-05;How Many Times;dj khaled;798
2015-09-05;Fly Away;5 seconds of summer;421
2015-08-29;You Know You Like It;dj snake;426
2015-08-29;Commas;future;878
2015-08-29;If Only;dove cameron;301
2015-08-29;100 Grandkids;mac miller;735
2015-08-22;Take Your Time;sam hunt;553
2015-08-22;Slow Motion;trey songz;733
2015-08-22;Love You Like That;canaan smith;563
2015-08-22;The Matrimony;wale;416
2015-08-22;Crushin' It;brad paisley;595
2015-08-22;This Summer's Gonna Hurt...;maroon 5;505
2015-08-22;Good Thing;sage the gemini;558
2015-08-22;Charged Up;drake;457
2015-08-15;Shake It Off;taylor swift;631
2015-08-15;Elastic Heart;sia;421
2015-08-15;Girl Crush;little big town;506
2015-08-15;Bright;echosmith;536
2015-08-15;Love Me Like You Mean It;kelsea ballerini;648
2015-08-15;Yoga;janelle monae;0.74
2015-08-15;No Sleeep;janet;737
2015-08-15;Kings Never Die;eminem;776
2015-08-15;Back It Up;prince royce;736
2015-08-15;Like I Can;sam smith;652
2015-08-15;Fire N Gold;bea miller;539
2015-08-08;Sippin' On Fire;florida georgia line;483
2015-08-08;Baby Be My Love Song;easton corbin;487
2015-08-08;Tear In My Heart;twenty one pilots;655
2015-08-08;Blow A Bag;future;793
2015-08-08;Dance Like We're Making Love;ciara;721
2015-08-01;Style;taylor swift;588
2015-08-01;Somebody;natalie la rose;845
2015-08-01;Don't It;billy currington;577
2015-08-01;I Really Like You;carly rae jepsen;0.62
2015-08-01;Little Toy Guns;carrie underwood;434
2015-08-01;Hood Go Crazy;tech n9ne;912
2015-08-01;Lord Knows;meek mill;434
2015-08-01;Jump Out The Face;meek mill;699
2015-07-25;G.D.F.R.;flo rida;657
2015-07-25;Smoke;a thousand horses;429
2015-07-25;Diamond Rings And Old Barstools;tim mcgraw;537
2015-07-25;Bad For You;meek mill;0.68
2015-07-25;Brother;needtobreathe;528
2015-07-25;Love Is Your Name;steven tyler;512
2015-07-18;Blank Space;taylor swift;0.92
2015-07-18;Budapest;george ezra;706
2015-07-18;Know Yourself;drake;733
2015-07-18;Flashlight;jessie j;477
2015-07-18;Coffee;miguel;526
2015-07-18;My Way;fetty wap;748
2015-07-11;Dear Future Husband;meghan trainor;655
2015-07-11;One Last Time;ariana grande;631
2015-07-11;Energy;drake;748
2015-07-11;Wild Child;kenny chesney;586
2015-07-11;I Need Your Love;shaggy;529
2015-07-11;Pretty Girls;britney spears;834
2015-07-11;B**** I'm Madonna;madonna;738
2015-07-11;No Sleeep;janet;737
2015-07-11;Check;young thug;667
2015-07-04;Blessings;big sean;764
2015-07-04;Lay Me Down;sam smith;607
2015-07-04;Believe;mumford;359
2015-07-04;I Don't Get Tired (#IDGT);kevin gates;492
2015-07-04;Nasty;bandit gang marco;883
2015-07-04;Flicka Da Wrist;chedda da connect;949
2015-07-04;Sparks;hilary duff;847
2015-06-27;Time Of Our Lives;pitbull;0.72
2015-06-27;Chains;nick jonas;534
2015-06-27;I Want You To Know;zedd;565
2015-06-27;Where Are U Now;skrillex;432
2015-06-27;All Day;kanye west;861
2015-06-27;L$D;a$ap rocky;598
2015-06-27;Everyday;a$ap rocky;394
2015-06-27;3500;travi$ scott;767
2015-06-20;Truffle Butter;nicki minaj;896
2015-06-20;FourFiveSeconds;rihanna;576
2015-06-20;Get Low;dillon francis;0.67
2015-06-20;Electric Body;a$ap rocky;897
2015-06-20;You Changed Me;jamie foxx;0.7
2015-06-20;Phenomenal;eminem;0.64
2015-06-20;Ulay Oh;how i became the bomb;489
2015-06-13;All About That Bass;meghan trainor;807
2015-06-13;Homegrown;zac brown band;0.72
2015-06-13;Heartbeat Song;kelly clarkson;0.5
2015-06-13;I Bet;ciara;739
2015-06-13;Raise 'Em Up;keith urban;607
2015-06-13;King Kunta;kendrick lamar;884
2015-06-06;Take Me To Church;hozier;566
2015-06-06;Feeling Myself;nicki minaj;0.69
2015-06-06;Ayo;chris brown;823
2015-06-06;She Don't Love You;eric paslay;466
2015-06-06;Games;luke bryan;508
2015-06-06;Please;sawyer fredericks;416
2015-06-06;Old Man;sawyer fredericks;492
2015-06-06;Change My Mind;meghan linsey;404
2015-05-30;I'm Not The Only One;sam smith;453
2015-05-30;Geronimo;sheppard;719
2015-05-30;Throw Sum Mo;rae sremmurd;854
2015-05-30;A Guy Walks Into A Bar;tyler farr;428
2015-05-30;Say You Do;dierks bentley;474
2015-05-30;Hey Mama;david guetta;596
2015-05-30;Nothing Without Love;nate ruess;565
2015-05-30;Beautiful Life;nick fradiani;582
2015-05-30;A Thousand Years;sawyer fredericks;435
2015-05-23;Lips Are Movin;meghan trainor;775
2015-05-23;Ain't Worth The Whiskey;cole swindell;432
2015-05-23;10 Bands;drake;825
2015-05-23;Nobody Love;tori kelly;751
2015-05-23;American Oxygen;rihanna;232
2015-05-23;Shine On;sawyer fredericks;0.47
2015-05-16;Centuries;fall out boy;339
2015-05-16;Legend;drake;712
2015-05-16;Lean On;major lazer;713
2015-05-16;Simple Man;sawyer fredericks;0.58
2015-05-16;Infinity;mariah carey;552
2015-05-09;Riptide;vance joy;484
2015-05-09;I Don't Mind;usher;0.87
2015-05-09;Drinking Class;lee brice;663
2015-05-09;Outside;calvin harris;646
2015-05-09;Little Red Wagon;miranda lambert;584
2015-05-09;Trouble;iggy azalea;0.96
2015-05-09;Ride Out;kid ink, tyga, wale, yg;696
2015-05-09;Hallelujah;panic! at the disco;518
2015-05-09;Make It Rain;koryn hawthorne;471
2015-05-09;Iris;sawyer fredericks;475
2015-05-02;Stay With Me;sam smith;479
2015-05-02;Jealous;nick jonas;699
2015-05-02;Only;nicki minaj;841
2015-05-02;Prayer In C;lillywood;693
2015-05-02;Lonely Eyes;chris young;657
2015-05-02;Bills;lunchmoney lewis;699
2015-05-02;Imagine;sawyer fredericks;308
2015-05-02;House Of The Rising Sun;kimberly nichole;253
2015-04-25;I Don't F**k With You;big sean;818
2015-04-25;11-Jul;beyonce;unknown
2015-04-25;Homegrown Honey;darius rucker;589
2015-04-25;Immortals;fall out boy;614
2015-04-25;Go Hard Or Go Home;wiz khalifa;651
2015-04-25;Good Lovin;ludacris;707
2015-04-25;Goodbye;who is fancy;709
2015-04-18;Animals;maroon 5;462
2015-04-18;I Bet My Life;imagine dragons;564
2015-04-18;Night Changes;one direction;672
2015-04-18;She Knows;ne-yo;702
2015-04-18;CoCo;o.t. genasis;886
2015-04-18;I See You;luke bryan;661
2015-04-18;Apparently;j. cole;801
2015-04-11;Make Me Wanna;thomas rhett;538
2015-04-11;Just Gettin' Started;jason aldean;502
2015-04-11;Lonely Tonight;blake shelton;0.41
2015-04-11;Failure;breaking benjamin;467
2015-04-11;Baby Blue;action bronson;828
2015-04-04;Chandelier;sia;286
2015-04-04;No Type;rae sremmurd;862
2015-04-04;Mean To Me;brett eldredge;647
2015-04-04;The Heart Wants What It Wants;selena gomez;616
2015-04-04;I Lived;onerepublic;596
2015-04-04;The Hanging Tree;james newton howard;255
2015-04-04;You're So Beautiful;empire cast;795
2015-04-04;The Blacker The Berry;kendrick lamar;553
2015-04-04;Fairly Local;twenty one pilots;715
2015-04-04;Wesley's Theory;kendrick lamar;509
2015-04-04;These Walls;kendrick lamar;752
2015-04-04;Institutionalized;kendrick lamar;539
2015-03-28;Ghost;ella henderson;682
2015-03-28;What We Ain't Got;jake owen;537
2015-03-28;Masterpiece;jessie j;652
2015-03-28;Conqueror;empire cast;565
2015-03-21;Love Me Harder;ariana grande;472
2015-03-21;Sun Daze;florida georgia line;483
2015-03-21;Talladega;eric church;584
2015-03-21;Try Me;dej loaf;0.56
2015-03-21;Sledgehammer;fifth harmony;681
2015-03-21;Like A Cowboy;randy houser;509
2015-03-21;Not For Long;b.o.b;837
2015-03-21;Adore;cashmere cat;332
2015-03-21;Monster;meek mill;673
2015-03-14;Bang Bang;jessie j, ariana grande;706
2015-03-14;Often;the weeknd;0.52
2015-03-14;Stuck On A Feeling;prince royce;816
2015-03-14;Only One;kanye west;723
2015-03-14;Glory;common;567
2015-03-14;No Tellin';drake;823
2015-03-14;First Kiss;kid rock;615
2015-03-14;All Your Fault;big sean;609
2015-03-14;You Are In Love;taylor swift;574
2015-03-14;Paradise;big sean;822
2015-03-07;Habits (Stay High);tove lo;734
2015-03-07;Tuesday;i love makonnen;784
2015-03-07;Take It On Back;chase bryant;558
2015-03-07;The Body;wale;493
2015-03-07;Shots;imagine dragons;565
2015-03-07;Preach;drake;605
2015-03-07;Used To;drake;926
2015-03-07;What Kind Of Man;florence + the machine;314
2015-03-07;Wonderland;taylor swift;0.41
2015-03-07;6 God;drake;859
2015-03-07;Now & Forever;drake;555
2015-03-07;6 Man;drake;812
2015-02-28;Don't;ed sheeran;806
2015-02-28;Heroes (We Could Be);alesso;527
2015-02-28;Something In The Water;carrie underwood;456
2015-02-28;Shotgun Rider;tim mcgraw;0.46
2015-02-28;Where You Belong;the weeknd;386
2015-02-28;I Put A Spell On You;annie lennox;567
2015-02-28;Keep Your Money;empire cast;739
2015-02-21;Work It;missy misdemeanor elliott;765
2015-02-21;Get Ur Freak On;missy misdemeanor elliott;797
2015-02-21;Waves;mr. probz;364
2015-02-21;***Flawless;beyonce;476
2015-02-21;Body Language;kid ink;886
2015-02-21;L.A.LOVE (la la);fergie;522
2015-02-21;Beg For It;iggy azalea;806
2015-02-21;God Made Girls;raelynn;0.51
2015-02-21;I Mean It;g-eazy;719
2015-02-21;A Little Too Much;shawn mendes;487
2015-02-21;Hotel;kid ink;0.78
2015-02-21;Out The Speakers;a-trak + milo;677
2015-02-14;Rude;magic!;774
2015-02-14;Steal My Girl;one direction;0.47
2015-02-14;Perfect Storm;brad paisley;0.53
2015-02-14;Dangerous;david guetta;466
2015-02-14;Til It's Gone;kenny chesney;499
2015-02-14;All About It;hoodie allen;734
2015-02-14;Can't Stop Dancin';becky g;645
2015-02-07;Don't Tell 'Em;jeremih;851
2015-02-07;Black Widow;iggy azalea;741
2015-02-07;Blame;calvin harris;412
2015-01-31;Hot Boy;bobby shmurda;859
2015-01-31;Touchin, Lovin;trey songz;813
2015-01-31;Hold You Down;dj khaled;507
2015-01-31;No Love;august alsina;593
2015-01-24;Rather Be;clean bandit;799
2015-01-24;Stolen Dance;milky chance;879
2015-01-24;Somewhere In My Car;keith urban;584
2015-01-24;Neon Light;blake shelton;666
2015-01-24;Close Your Eyes;parmalee;548
2015-01-24;Best Friends;sophia grace;681
2015-01-24;Blank Space;i prevail;437
2015-01-17;Trumpets;jason derulo;627
2015-01-17;Lifestyle;rich gang;564
2015-01-17;Anaconda;nicki minaj;949
2015-01-17;Try;colbie caillat;602
2015-01-17;In Your Arms;nico;431
2015-01-17;Yellow Flicker Beat;lorde;586
2015-01-17;Bed Of Lies;nicki minaj;503
2015-01-17;Something Big;shawn mendes;702
2015-01-10;Burnin' Up;jessie j;0.76
2015-01-10;Santa Tell Me;ariana grande;464
2015-01-10;Break The Rules;charli xcx;676
2015-01-10;Shell Shocked;juicy j, wiz khalifa;596
2015-01-10;Bad Blood;taylor swift;346
2015-01-10;Bad B*tch;french montana;729
2015-01-10;Title;meghan trainor;779
2015-01-01;About The Money;t.i.;0.81
2015-01-01;Girl In A Country Song;maddie;586
2015-01-01;Fireball;pitbull;0.69
2015-01-01;Bed Of Lies;nicki minaj featruing skylar grey;514
2015-01-01;Wasted Love;matt mcandrew;541
2015-01-01;My Baby's Got A Smile On Her Face;craig wayne boyd;414
2015-01-01;Velvet;chris jamison;516
2015-01-01;Lost Without U;chris jamison;0.67
2015-01-01;Soldier;damien;486
2015-01-01;Lost Stars;matt mcandrew;495
2015-01-01;Get On Your Knees;nicki minaj;658
2014-12-27;Cool Kids;echosmith;692
2014-12-27;New Flame;chris brown;706
2014-12-27;No Flex Zone;rae sremmurd;0.93
2014-12-27;Make It Rain;ed sheeran;926
2014-12-27;The Old Rugged Cross;craig wayne boyd;323
2014-12-27;Make It Rain;matt mcandrew;926
2014-12-27;Have Yourself A Merry Little Christmas;sam smith;399
2014-12-27;Come Join The Murder;the white buffalo;529
2014-12-27;When I Was Your Man;chris jamison;612
2014-12-20;0 To 100 / The Catch Up;drake;559
2014-12-20;Burnin' It Down;jason aldean;676
2014-12-20;Day Drinking;little big town;594
2014-12-20;Look At You;big;503
2014-12-20;Feelin' It;scotty mccreery;584
2014-12-20;i;kendrick lamar;541
2014-12-20;The Blower's Daughter;matt mcandrew;334
2014-12-20;Royals;taylor john williams;616
2014-12-13;Fancy;iggy azalea;914
2014-12-13;Break Free;ariana grande;687
2014-12-13;Roller Coaster;luke bryan;599
2014-12-13;This Is How We Do;katy perry;686
2014-12-13;Booty;jennifer lopez;678
2014-12-13;Baby Don't Lie;gwen stefani;688
2014-12-13;Guts Over Fear;eminem;638
2014-12-13;I Walk The Line;craig wayne boyd;851
2014-12-06;All Of Me;john legend;422
2014-12-06;Happy;pharrell williams;584
2014-12-06;Bailando;enrique iglesias;712
2014-12-06;Boom Clap;charli xcx;659
2014-12-06;Sunshine & Whiskey;frankie ballard;0.67
2014-12-06;Dirt;florida georgia line;547
2014-12-06;You And Your Friends;wiz khalifa;783
2014-12-06;Good Girls;5 seconds of summer;531
2014-12-06;Do They Know It's Christmas? (2014);band aid 30;551
2014-12-06;Baby It's Cold Outside;idina menzel;435
2014-12-06;Take Me To Church;matt mcandrew;428
2014-12-06;Stockholm Syndrome;one direction;678
2014-11-29;Am I Wrong;nico;725
2014-11-29;Maps;maroon 5;743
2014-11-29;Leave The Night On;sam hunt;505
2014-11-29;Amnesia;5 seconds of summer;558
2014-11-29;Superheroes;the script;491
2014-11-29;Handsome And Wealthy;migos;858
2014-11-29;Bobby Bitch;bobby shmurda;0.92
2014-11-29;Made Me;snootie wild;857
2014-11-29;18;one direction;681
2014-11-29;Where Do Broken Hearts Go;one direction;565
2014-11-22;Secrets;mary lambert;791
2014-11-22;Ready To Run;one direction;524
2014-11-22;Shut Up + Dance;walk the moon;579
2014-11-15;Latch;disclosure;502
2014-11-15;No Mediocre;t.i.;0.78
2014-11-15;American Kids;kenny chesney;733
2014-11-15;Hope You Get Lonely Tonight;cole swindell;0.45
2014-11-15;Welcome To New York;taylor swift;0.79
2014-11-15;I Won't Let You Down;ok go;755
2014-11-08;A Sky Full Of Stars;coldplay;551
2014-11-08;Small Town Throwdown;brantley gilbert;414
2014-11-08;Fight Night;migos;874
2014-11-08;Hideaway;kiesza;863
2014-11-08;Hookah;tyga;857
2014-11-08;U Guessed It;og maco;894
2014-11-01;Dark Horse;katy perry;646
2014-11-01;Problem;ariana grande;604
2014-11-01;2 On;tinashe;742
2014-11-01;Ready Set Roll;chase rice;513
2014-11-01;Shower;becky g;699
2014-11-01;V. 3005;childish gambino;472
2014-11-01;Studio;schoolboy q;715
2014-11-01;Bo$$;fifth harmony;808
2014-11-01;EW!;jimmy fallon;951
2014-11-01;I'm Not Gonna Miss You;glen campbell;454
2014-10-25;Believe Me;lil wayne;702
2014-10-25;Later On;the swon brothers;508
2014-10-25;24 Hours;teeflii;0.52
2014-10-25;The Days;avicii;0.59
2014-10-25;Errrbody;yo gotti;875
2014-10-18;Counting Stars;onerepublic;665
2014-10-18;Somethin' Bad;miranda lambert;0.25
2014-10-18;Bartender;lady antebellum;628
2014-10-18;Meanwhile Back At Mama's;tim mcgraw;614
